qGS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN	29	http://www.broadinstitute.org/gsea/msigdb/cards/TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN	0.58844	2.1009	0	0.039089	0.059	0.414	0.173	0.343	0	0.006
BRIDEAU_IMPRINTED_GENES	60	http://www.broadinstitute.org/gsea/msigdb/cards/BRIDEAU_IMPRINTED_GENES	0.46174	1.7312	0.01217	1	0.854	0.2	0.0731	0.186	1	0.575
NGO_MALIGNANT_GLIOMA_1P_LOH	16	http://www.broadinstitute.org/gsea/msigdb/cards/NGO_MALIGNANT_GLIOMA_1P_LOH	0.59774	1.6297	0.01496	1	0.98	0.562	0.199	0.451	1	0.811
BILANGES_SERUM_RESPONSE_TRANSLATION	36	http://www.broadinstitute.org/gsea/msigdb/cards/BILANGES_SERUM_RESPONSE_TRANSLATION	0.45654	1.6151	0.01619	1	0.987	0.333	0.182	0.273	1	0.791
REACTOME_SIGNALING_BY_NODAL	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_NODAL	0.72924	1.6049	0.02326	1	0.99	0.438	0.0476	0.417	1	0.768
VALK_AML_CLUSTER_13	28	http://www.broadinstitute.org/gsea/msigdb/cards/VALK_AML_CLUSTER_13	0.49617	1.5929	0.0443	1	0.992	0.214	0.0958	0.194	1	0.754
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	30	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.46164	1.567	0.04082	1	0.997	0.1	0.0157	0.0985	1	0.79
EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_DN	48	http://www.broadinstitute.org/gsea/msigdb/cards/EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_DN	0.4018	1.5553	0.02526	1	0.998	0.208	0.102	0.188	1	0.793
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	48	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	0.5466	1.5415	0.04742	1	0.999	0.375	0.138	0.324	1	0.803
HEDENFALK_BREAST_CANCER_BRACX_DN	20	http://www.broadinstitute.org/gsea/msigdb/cards/HEDENFALK_BREAST_CANCER_BRACX_DN	0.5521	1.5364	0.02626	1	0.999	0.45	0.149	0.383	1	0.786
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	25	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	0.50498	1.5315	0.05825	1	1	0.4	0.185	0.326	1	0.774
NIELSEN_MALIGNAT_FIBROUS_HISTIOCYTOMA_DN	17	http://www.broadinstitute.org/gsea/msigdb/cards/NIELSEN_MALIGNAT_FIBROUS_HISTIOCYTOMA_DN	0.47862	1.5168	0.05134	1	1	0.412	0.221	0.321	1	0.797
RASHI_RESPONSE_TO_IONIZING_RADIATION_3	46	http://www.broadinstitute.org/gsea/msigdb/cards/RASHI_RESPONSE_TO_IONIZING_RADIATION_3	0.34736	1.5085	0.05625	1	1	0.109	0.0305	0.106	1	0.803
REACTOME_ERK_MAPK_TARGETS	21	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ERK_MAPK_TARGETS	0.46581	1.5052	0.03571	1	1	0.238	0.112	0.212	1	0.781
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	50	http://www.broadinstitute.org/gsea/msigdb/cards/SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	0.4744	1.4857	0.1062	1	1	0.28	0.156	0.237	1	0.836
LEIN_LOCALIZED_TO_PROXIMAL_DENDRITES	36	http://www.broadinstitute.org/gsea/msigdb/cards/LEIN_LOCALIZED_TO_PROXIMAL_DENDRITES	0.41682	1.4849	0.05757	1	1	0.167	0.0864	0.152	1	0.818
GRADE_COLON_AND_RECTAL_CANCER_DN	98	http://www.broadinstitute.org/gsea/msigdb/cards/GRADE_COLON_AND_RECTAL_CANCER_DN	0.33743	1.4832	0.06118	1	1	0.184	0.13	0.16	1	0.798
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	415	http://www.broadinstitute.org/gsea/msigdb/cards/CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	0.51265	1.4808	0.09792	1	1	0.357	0.134	0.314	1	0.78
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES	35	http://www.broadinstitute.org/gsea/msigdb/cards/SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES	0.38407	1.471	0.04305	1	1	0.229	0.108	0.204	1	0.793
ROPERO_HDAC2_TARGETS	104	http://www.broadinstitute.org/gsea/msigdb/cards/ROPERO_HDAC2_TARGETS	0.30085	1.4701	0.03471	1	1	0.202	0.149	0.173	1	0.772
LIN_MELANOMA_COPY_NUMBER_DN	39	http://www.broadinstitute.org/gsea/msigdb/cards/LIN_MELANOMA_COPY_NUMBER_DN	0.45625	1.4694	0.08351	1	1	0.385	0.156	0.325	1	0.743
PID_SMAD2_3PATHWAY	17	http://www.broadinstitute.org/gsea/msigdb/cards/PerfID_SMAD2_3PATHWAY	0.53327	1.4661	0.1048	1	1	0.176	0.0812	0.162	1	0.738
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	24	http://www.broadinstitute.org/gsea/msigdb/cards/GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	0.49882	1.4622	0.06157	1	1	0.208	0.0847	0.191	1	0.733
REACTOME_PEPTIDE_CHAIN_ELONGATION	88	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PEPTIDE_CHAIN_ELONGATION	0.41752	1.4619	0.07171	1	1	0.42	0.205	0.335	1	0.719
RODRIGUES_THYROID_CARCINOMA_UP	16	http://www.broadinstitute.org/gsea/msigdb/cards/RODRIGUES_THYROID_CARCINOMA_UP	0.56884	1.46	0.08471	1	1	0.25	0.0672	0.233	1	0.707
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.31864	1.454	0.02282	1	1	0.119	0.0723	0.111	1	0.715
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	56	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.49289	1.448	0.07645	1	1	0.339	0.138	0.293	1	0.723
REACTOME_RNA_POL_III_TRANSCRIPTION	32	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_III_TRANSCRIPTION	0.46898	1.4461	0.09627	1	1	0.375	0.216	0.294	1	0.704
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	328	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	0.41553	1.4397	0.05383	1	1	0.372	0.205	0.3	1	0.724
PID_VEGFR1_PATHWAY	26	http://www.broadinstitute.org/gsea/msigdb/cards/PID_VEGFR1_PATHWAY	0.47617	1.4364	0.07203	1	1	0.269	0.14	0.232	1	0.712
GRUETZMANN_PANCREATIC_CANCER_DN	197	http://www.broadinstitute.org/gsea/msigdb/cards/GRUETZMANN_PANCREATIC_CANCER_DN	0.33785	1.4342	0.05996	1	1	0.249	0.163	0.21	1	0.71
BIOCARTA_TGFB_PATHWAY	19	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TGFB_PATHWAY	0.56088	1.4334	0.07463	1	1	0.158	0.00806	0.157	1	0.697
MATZUK_MALE_REPRODUCTION_SERTOLI	28	http://www.broadinstitute.org/gsea/msigdb/cards/MATZUK_MALE_REPRODUCTION_SERTOLI	0.42156	1.4213	0.07803	1	1	0.214	0.0822	0.197	1	0.73
MIKKELSEN_ES_HCP_WITH_H3K27ME3	38	http://www.broadinstitute.org/gsea/msigdb/cards/MIKKELSEN_ES_HCP_WITH_H3K27ME3	0.47356	1.4207	0.08283	1	1	0.184	0.0917	0.168	1	0.712
KEGG_HISTIDINE_METABOLISM	28	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_HISTIDINE_METABOLISM	0.38587	1.4194	0.1017	1	1	0.179	0.079	0.165	1	0.703
MEISSNER_ES_ICP_WITH_H3K4ME3	31	http://www.broadinstitute.org/gsea/msigdb/cards/MEISSNER_ES_ICP_WITH_H3K4ME3	0.42005	1.4151	0.07172	1	1	0.194	0.12	0.17	1	0.703
BIOCARTA_EIF_PATHWAY	16	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EIF_PATHWAY	0.52013	1.4137	0.1331	1	1	0.5	0.228	0.386	1	0.692
YANG_BREAST_CANCER_ESR1_LASER_UP	32	http://www.broadinstitute.org/gsea/msigdb/cards/YANG_BREAST_CANCER_ESR1_LASER_UP	0.38578	1.4114	0.09581	1	1	0.0625	0.00074	0.0625	1	0.685
VERHAAK_GLIOBLASTOMA_PRONEURAL	170	http://www.broadinstitute.org/gsea/msigdb/cards/VERHAAK_GLIOBLASTOMA_PRONEURAL	0.33155	1.4086	0.04462	1	1	0.218	0.119	0.193	1	0.681
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	30	http://www.broadinstitute.org/gsea/msigdb/cards/BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	0.54335	1.4075	0.09979	1	1	0.333	0.141	0.287	1	0.673
