GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
YAO_HOXA10_TARGETS_VIA_PROGESTERONE_DN	17	http://www.broadinstitute.org/gsea/msigdb/cards/YAO_HOXA10_TARGETS_VIA_PROGESTERONE_DN	-0.74081	-1.9736	0	0.68793	0.256	0.765	0.207	0.607	0	0.238
HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_UP	34	http://www.broadinstitute.org/gsea/msigdb/cards/HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_UP	-0.5203	-1.9574	0	0.45715	0.297	0.471	0.271	0.344	0	0.147
LINDSTEDT_DENDRITIC_CELL_MATURATION_B	49	http://www.broadinstitute.org/gsea/msigdb/cards/LINDSTEDT_DENDRITIC_CELL_MATURATION_B	-0.61059	-1.9492	0.003906	0.34133	0.318	0.469	0.167	0.392	0	0.101
GROSS_HYPOXIA_VIA_ELK3_ONLY_DN	40	http://www.broadinstitute.org/gsea/msigdb/cards/GROSS_HYPOXIA_VIA_ELK3_ONLY_DN	-0.47424	-1.9339	0	0.31737	0.35	0.6	0.371	0.378	0	0.093
ONO_AML1_TARGETS_DN	39	http://www.broadinstitute.org/gsea/msigdb/cards/ONO_AML1_TARGETS_DN	-0.61205	-1.9104	0	0.35391	0.405	0.462	0.17	0.383	0	0.095
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	122	http://www.broadinstitute.org/gsea/msigdb/cards/ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	-0.58084	-1.9103	0.002008	0.29552	0.405	0.459	0.179	0.379	0	0.081
PARK_APL_PATHOGENESIS_DN	47	http://www.broadinstitute.org/gsea/msigdb/cards/PARK_APL_PATHOGENESIS_DN	-0.61382	-1.8704	0.00207	0.42229	0.507	0.511	0.205	0.407	0.13892	0.125
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	109	http://www.broadinstitute.org/gsea/msigdb/cards/ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	-0.44348	-1.8519	0	0.46763	0.549	0.404	0.251	0.304	0.15526	0.141
REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS	26	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS	-0.50368	-1.8472	0.01205	0.43896	0.562	0.423	0.241	0.321	0.14771	0.127
MORI_PRE_BI_LYMPHOCYTE_UP	80	http://www.broadinstitute.org/gsea/msigdb/cards/MORI_PRE_BI_LYMPHOCYTE_UP	-0.66005	-1.8446	0.01031	0.40785	0.567	0.425	0.113	0.378	0.13675	0.114
THILLAINADESAN_ZNF217_TARGETS_UP	42	http://www.broadinstitute.org/gsea/msigdb/cards/THILLAINADESAN_ZNF217_TARGETS_UP	-0.59876	-1.8428	0.01046	0.37945	0.569	0.286	0.0718	0.266	0.12782	0.101
OLSSON_E2F3_TARGETS_DN	45	http://www.broadinstitute.org/gsea/msigdb/cards/OLSSON_E2F3_TARGETS_DN	-0.66958	-1.841	0	0.35674	0.575	0.511	0.131	0.445	0.12361	0.095
WU_HBX_TARGETS_3_UP	18	http://www.broadinstitute.org/gsea/msigdb/cards/WU_HBX_TARGETS_3_UP	-0.63305	-1.8373	0	0.34401	0.582	0.556	0.214	0.437	0.12921	0.086
LENAOUR_DENDRITIC_CELL_MATURATION_DN	125	http://www.broadinstitute.org/gsea/msigdb/cards/LENAOUR_DENDRITIC_CELL_MATURATION_DN	-0.49729	-1.8349	0.005894	0.3285	0.588	0.32	0.136	0.278	0.12239	0.084
GAL_LEUKEMIC_STEM_CELL_DN	233	http://www.broadinstitute.org/gsea/msigdb/cards/GAL_LEUKEMIC_STEM_CELL_DN	-0.46766	-1.8339	0.002083	0.30998	0.589	0.378	0.192	0.308	0.11503	0.078
SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_DN	29	http://www.broadinstitute.org/gsea/msigdb/cards/SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_DN	-0.54715	-1.8284	0.01227	0.31028	0.608	0.552	0.297	0.388	0.11641	0.077
GOLUB_ALL_VS_AML_DN	22	http://www.broadinstitute.org/gsea/msigdb/cards/GOLUB_ALL_VS_AML_DN	-0.61663	-1.824	0.005964	0.30681	0.62	0.545	0.234	0.418	0.11403	0.076
SHEPARD_BMYB_MORPHOLINO_DN	192	http://www.broadinstitute.org/gsea/msigdb/cards/SHEPARD_BMYB_MORPHOLINO_DN	-0.48202	-1.8235	0.006098	0.29152	0.621	0.344	0.173	0.287	0.10816	0.069
ONO_FOXP3_TARGETS_DN	41	http://www.broadinstitute.org/gsea/msigdb/cards/ONO_FOXP3_TARGETS_DN	-0.5359	-1.8215	0.008282	0.28266	0.627	0.39	0.17	0.324	0.10286	0.067
