Gene	6_GAL_LEUKEMIC_STEM_CE	34_SHEPARD_BMYB_MORPHOL	12_ICHIBA_GRAFT_VERSUS_	1_ACOSTA_PROLIFERATION	15_LENAOUR_DENDRITIC_CE	17_MORI_PRE_BI_LYMPHOCY	20_NIKOLSKY_BREAST_CANC	9_GROSS_HYPOXIA_VIA_EL	24_PARK_APL_PATHOGENESI	21_OLSSON_E2F3_TARGETS_	16_LINDSTEDT_DENDRITIC_	22_ONO_AML1_TARGETS_DN	23_ONO_FOXP3_TARGETS_DN	33_SEITZ_NEOPLASTIC_TRA	11_HOFFMANN_PRE_BI_TO_L	41_YAO_HOXA10_TARGETS_V	7_GOLUB_ALL_VS_AML_DN	38_THILLAINADESAN_ZNF21	31_REACTOME_THE_ROLE_OF	40_WU_HBX_TARGETS_3_UP
CDK1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RRM2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
KIF23	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CD14	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A8	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A9	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAMPT	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGMN	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD163	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC11A1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KYNU	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAUR	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINF1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSC22D1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGDIB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAT1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI3L1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IER3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD44	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOD2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EVI2A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5AR1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSK	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H4C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPKAPK2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OLR1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLSCR1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR2A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANPEP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPBP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FYB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRGN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
CTSD	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
JUNB	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CES1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RAB31	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SPI1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SERPINB2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PRCC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SMOX	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SLC29A1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PECAM1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
COL4A2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FKBP5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NR2F6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RNASE3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GPI	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LYST	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GPNMB	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SLC20A1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
QSOX1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
HOXA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TP53INP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CDKN2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PIGR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ACTA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DSG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ALPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ALDH1A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
YWHAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PCP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GJA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RRAS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GZMH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DDX51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FCRLA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MYEF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SAMD10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TIRAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TACSTD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EDN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PPP1CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ATP6V1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PRIM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CKS1B	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
TRIM46	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
SHC1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LENEP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GBA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DCST1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MTX1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PBXIP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
THBS3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB7B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FLAD1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTCAP2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RORC	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OAZ3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
THEM4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
THEM5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PMVK	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TDRKH	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EFNA4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DCST2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EFNA1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC50A1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PYGO2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RUSC1-AS1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MCL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AIF1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCP2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRC	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A11	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YES1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAC2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMSN1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM110	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITFG2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL4A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FADS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNNT1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLCO2B1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHOG	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRV1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNCG	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESYT1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESR1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
