GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
OXFORD_RALA_OR_RALB_TARGETS_UP	45	http://www.broadinstitute.org/gsea/msigdb/cards/OXFORD_RALA_OR_RALB_TARGETS_UP	-0.80724	-1.7063	0.001949	1	0.742	0.667	0.111	0.594	0.78163	0.416
GENTLES_LEUKEMIC_STEM_CELL_DN	19	http://www.broadinstitute.org/gsea/msigdb/cards/GENTLES_LEUKEMIC_STEM_CELL_DN	-0.70841	-1.7027	0.007797	0.81006	0.752	0.263	0.0431	0.252	0.40829	0.221
KONG_E2F3_TARGETS	91	http://www.broadinstitute.org/gsea/msigdb/cards/KONG_E2F3_TARGETS	-0.78835	-1.6965	0.008147	0.58931	0.773	0.582	0.074	0.542	0.29789	0.134
LEE_EARLY_T_LYMPHOCYTE_UP	102	http://www.broadinstitute.org/gsea/msigdb/cards/LEE_EARLY_T_LYMPHOCYTE_UP	-0.78765	-1.6949	0.009881	0.4505	0.775	0.578	0.0272	0.566	0.23094	0.092
NADERI_BREAST_CANCER_PROGNOSIS_UP	44	http://www.broadinstitute.org/gsea/msigdb/cards/NADERI_BREAST_CANCER_PROGNOSIS_UP	-0.74035	-1.6897	0.009862	0.38382	0.79	0.591	0.151	0.503	0.1981	0.07
BURTON_ADIPOGENESIS_3	101	http://www.broadinstitute.org/gsea/msigdb/cards/BURTON_ADIPOGENESIS_3	-0.71913	-1.6793	0.01394	0.3668	0.822	0.545	0.0816	0.503	0.2003	0.07
WHITFIELD_CELL_CYCLE_LITERATURE	44	http://www.broadinstitute.org/gsea/msigdb/cards/WHITFIELD_CELL_CYCLE_LITERATURE	-0.83365	-1.6683	0	0.36491	0.843	0.591	0.0525	0.561	0.20209	0.066
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	137	http://www.broadinstitute.org/gsea/msigdb/cards/ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	-0.84213	-1.6651	0	0.33045	0.847	0.701	0.0631	0.661	0.18406	0.062
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	17	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	-0.84635	-1.6649	0	0.29486	0.848	0.471	0.0317	0.456	0.16415	0.054
AMUNDSON_GAMMA_RADIATION_RESPONSE	39	http://www.broadinstitute.org/gsea/msigdb/cards/AMUNDSON_GAMMA_RADIATION_RESPONSE	-0.85147	-1.6619	0.002012	0.27575	0.853	0.615	0.0411	0.591	0.15302	0.046
HU_GENOTOXIC_DAMAGE_4HR	35	http://www.broadinstitute.org/gsea/msigdb/cards/HU_GENOTOXIC_DAMAGE_4HR	-0.68518	-1.6591	0.0121	0.26023	0.863	0.4	0.0296	0.389	0.14637	0.041
WHITEFORD_PEDIATRIC_CANCER_MARKERS	110	http://www.broadinstitute.org/gsea/msigdb/cards/WHITEFORD_PEDIATRIC_CANCER_MARKERS	-0.76754	-1.6466	0.01411	0.28188	0.895	0.6	0.0793	0.555	0.16265	0.047
SIMBULAN_PARP1_TARGETS_DN	17	http://www.broadinstitute.org/gsea/msigdb/cards/SIMBULAN_PARP1_TARGETS_DN	-0.82429	-1.6438	0.004	0.26968	0.9	0.588	0.0931	0.534	0.15761	0.045
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	134	http://www.broadinstitute.org/gsea/msigdb/cards/CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	-0.632	-1.6404	0.02687	0.26164	0.911	0.433	0.0674	0.406	0.15045	0.045
SMID_BREAST_CANCER_RELAPSE_IN_LUNG_UP	19	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_RELAPSE_IN_LUNG_UP	-0.73831	-1.639	0.003937	0.24843	0.911	0.579	0.0788	0.534	0.14222	0.038
FURUKAWA_DUSP6_TARGETS_PCI35_DN	69	http://www.broadinstitute.org/gsea/msigdb/cards/FURUKAWA_DUSP6_TARGETS_PCI35_DN	-0.66716	-1.6364	0.0233	0.24012	0.918	0.391	0.0321	0.38	0.13702	0.033
CROONQUIST_IL6_DEPRIVATION_DN	98	http://www.broadinstitute.org/gsea/msigdb/cards/CROONQUIST_IL6_DEPRIVATION_DN	-0.76767	-1.636	0.007905	0.22708	0.919	0.612	0.0727	0.57	0.13047	0.03
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	142	http://www.broadinstitute.org/gsea/msigdb/cards/SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	-0.7804	-1.6304	0.0137	0.22814	0.931	0.599	0.0816	0.554	0.13252	0.031
WU_APOPTOSIS_BY_CDKN1A_VIA_TP53	54	http://www.broadinstitute.org/gsea/msigdb/cards/WU_APOPTOSIS_BY_CDKN1A_VIA_TP53	-0.74232	-1.6242	0.0293	0.23349	0.94	0.556	0.0601	0.524	0.13698	0.031
TANG_SENESCENCE_TP53_TARGETS_DN	57	http://www.broadinstitute.org/gsea/msigdb/cards/TANG_SENESCENCE_TP53_TARGETS_DN	-0.75821	-1.6221	0.02405	0.22753	0.943	0.579	0.055	0.549	0.13542	0.029
MORI_PRE_BI_LYMPHOCYTE_UP	78	http://www.broadinstitute.org/gsea/msigdb/cards/MORI_PRE_BI_LYMPHOCYTE_UP	-0.64735	-1.6216	0.03578	0.21832	0.944	0.423	0.0655	0.397	0.13021	0.028
KOBAYASHI_EGFR_SIGNALING_24HR_DN	240	http://www.broadinstitute.org/gsea/msigdb/cards/KOBAYASHI_EGFR_SIGNALING_24HR_DN	-0.66796	-1.6177	0.02519	0.21797	0.949	0.479	0.0816	0.445	0.1336	0.027
KANG_DOXORUBICIN_RESISTANCE_UP	53	http://www.broadinstitute.org/gsea/msigdb/cards/KANG_DOXORUBICIN_RESISTANCE_UP	-0.86811	-1.6147	0.005976	0.21572	0.953	0.811	0.0871	0.743	0.12944	0.026
FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN	49	http://www.broadinstitute.org/gsea/msigdb/cards/FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN	-0.70245	-1.6124	0.028	0.21217	0.955	0.531	0.121	0.467	0.12821	0.025
PID_FOXM1_PATHWAY	40	http://www.broadinstitute.org/gsea/msigdb/cards/PID_FOXM1_PATHWAY	-0.63136	-1.6116	0.03386	0.19808	0.959	0.375	0.0692	0.35	0.1196	0.022
FOURNIER_ACINAR_DEVELOPMENT_LATE_DN	20	http://www.broadinstitute.org/gsea/msigdb/cards/FOURNIER_ACINAR_DEVELOPMENT_LATE_DN	-0.74751	-1.6116	0.004	0.20597	0.959	0.4	0.0137	0.395	0.12438	0.024
WEBER_METHYLATED_ICP_IN_FIBROBLAST	20	http://www.broadinstitute.org/gsea/msigdb/cards/WEBER_METHYLATED_ICP_IN_FIBROBLAST	-0.68866	-1.6101	0.005929	0.19416	0.96	0.35	0.214	0.275	0.1177	0.021
BURTON_ADIPOGENESIS_PEAK_AT_24HR	42	http://www.broadinstitute.org/gsea/msigdb/cards/BURTON_ADIPOGENESIS_PEAK_AT_24HR	-0.70445	-1.603	0.03143	0.20315	0.966	0.429	0.0255	0.419	0.12523	0.022
YU_MYC_TARGETS_UP	39	http://www.broadinstitute.org/gsea/msigdb/cards/YU_MYC_TARGETS_UP	-0.74455	-1.601	0.02414	0.20143	0.97	0.462	0.0255	0.451	0.12462	0.022
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP	166	http://www.broadinstitute.org/gsea/msigdb/cards/CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP	-0.65638	-1.6005	0.03386	0.19597	0.97	0.428	0.035	0.416	0.12071	0.021
LY_AGING_MIDDLE_DN	16	http://www.broadinstitute.org/gsea/msigdb/cards/LY_AGING_MIDDLE_DN	-0.85648	-1.5993	0.006061	0.19214	0.971	0.688	0.0588	0.648	0.11875	0.021
ZHAN_MULTIPLE_MYELOMA_PR_UP	43	http://www.broadinstitute.org/gsea/msigdb/cards/ZHAN_MULTIPLE_MYELOMA_PR_UP	-0.89161	-1.5976	0	0.19011	0.972	0.744	0.0272	0.725	0.11723	0.02
GAVIN_FOXP3_TARGETS_CLUSTER_P6	87	http://www.broadinstitute.org/gsea/msigdb/cards/GAVIN_FOXP3_TARGETS_CLUSTER_P6	-0.65974	-1.5964	0.02178	0.18689	0.973	0.529	0.0883	0.484	0.1161	0.019
FARMER_BREAST_CANCER_CLUSTER_2	32	http://www.broadinstitute.org/gsea/msigdb/cards/FARMER_BREAST_CANCER_CLUSTER_2	-0.88046	-1.5945	0.007905	0.18532	0.977	0.656	0.0255	0.641	0.11476	0.018
REICHERT_MITOSIS_LIN9_TARGETS	26	http://www.broadinstitute.org/gsea/msigdb/cards/REICHERT_MITOSIS_LIN9_TARGETS	-0.83002	-1.5925	0.007937	0.1846	0.978	0.615	0.0411	0.591	0.11309	0.018
WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP	21	http://www.broadinstitute.org/gsea/msigdb/cards/WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP	-0.77708	-1.5918	0.01603	0.18071	0.979	0.524	0.0414	0.503	0.11049	0.017
VECCHI_GASTRIC_CANCER_EARLY_UP	396	http://www.broadinstitute.org/gsea/msigdb/cards/VECCHI_GASTRIC_CANCER_EARLY_UP	-0.58142	-1.5882	0.03314	0.18353	0.98	0.432	0.108	0.393	0.1139	0.018
CHANG_CYCLING_GENES	140	http://www.broadinstitute.org/gsea/msigdb/cards/CHANG_CYCLING_GENES	-0.70504	-1.5876	0.03373	0.18	0.98	0.6	0.106	0.54	0.11125	0.017
CROONQUIST_NRAS_SIGNALING_DN	72	http://www.broadinstitute.org/gsea/msigdb/cards/CROONQUIST_NRAS_SIGNALING_DN	-0.76142	-1.5865	0.02994	0.17772	0.982	0.611	0.0752	0.567	0.11071	0.017
ISHIDA_E2F_TARGETS	51	http://www.broadinstitute.org/gsea/msigdb/cards/ISHIDA_E2F_TARGETS	-0.78932	-1.5857	0.008065	0.17525	0.982	0.588	0.0599	0.554	0.10824	0.017
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	153	http://www.broadinstitute.org/gsea/msigdb/cards/HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	-0.61127	-1.5822	0.04418	0.17757	0.984	0.399	0.083	0.368	0.11073	0.017
SHEPARD_BMYB_TARGETS	67	http://www.broadinstitute.org/gsea/msigdb/cards/SHEPARD_BMYB_TARGETS	-0.6276	-1.5795	0.04339	0.1786	0.984	0.418	0.0626	0.393	0.11146	0.017
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP	86	http://www.broadinstitute.org/gsea/msigdb/cards/NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP	-0.67808	-1.579	0.02505	0.17527	0.984	0.558	0.0845	0.513	0.10941	0.017
DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	309	http://www.broadinstitute.org/gsea/msigdb/cards/DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	-0.61198	-1.577	0.0404	0.17534	0.986	0.453	0.0937	0.417	0.1096	0.017
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	45	http://www.broadinstitute.org/gsea/msigdb/cards/ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	-0.73626	-1.5647	0.02429	0.19652	0.99	0.6	0.0858	0.55	0.12311	0.018
KAUFFMANN_MELANOMA_RELAPSE_UP	59	http://www.broadinstitute.org/gsea/msigdb/cards/KAUFFMANN_MELANOMA_RELAPSE_UP	-0.68025	-1.5616	0.03762	0.1989	0.992	0.492	0.0846	0.451	0.12466	0.018
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	32	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	-0.64626	-1.5608	0.02794	0.19601	0.992	0.406	0.0871	0.371	0.1227	0.018
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR	82	http://www.broadinstitute.org/gsea/msigdb/cards/ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR	-0.68833	-1.5565	0.03984	0.20113	0.993	0.476	0.0793	0.44	0.12784	0.018
DELPUECH_FOXO3_TARGETS_DN	40	http://www.broadinstitute.org/gsea/msigdb/cards/DELPUECH_FOXO3_TARGETS_DN	-0.5881	-1.5494	0.04374	0.21254	0.994	0.35	0.0588	0.33	0.13627	0.021
BENPORATH_ES_2	37	http://www.broadinstitute.org/gsea/msigdb/cards/BENPORATH_ES_2	-0.53969	-1.5435	0.04314	0.22141	0.995	0.297	0.0555	0.281	0.14347	0.023
CHIARETTI_T_ALL_RELAPSE_PROGNOSIS	19	http://www.broadinstitute.org/gsea/msigdb/cards/CHIARETTI_T_ALL_RELAPSE_PROGNOSIS	-0.64652	-1.5274	0.04573	0.25672	0.996	0.316	0.0243	0.308	0.16675	0.029
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_DN	50	http://www.broadinstitute.org/gsea/msigdb/cards/GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_DN	-0.64398	-1.5272	0.05754	0.25227	0.996	0.42	0.0846	0.385	0.16487	0.029
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	122	http://www.broadinstitute.org/gsea/msigdb/cards/ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	-0.64215	-1.5247	0.07129	0.25408	0.998	0.475	0.0846	0.438	0.16653	0.029
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN	86	http://www.broadinstitute.org/gsea/msigdb/cards/GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN	-0.7239	-1.5246	0.05389	0.24969	0.998	0.512	0.0317	0.498	0.16345	0.029
MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_UP	94	http://www.broadinstitute.org/gsea/msigdb/cards/MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_UP	-0.48834	-1.5243	0.04192	0.24572	0.998	0.33	0.0849	0.303	0.16081	0.026
LE_NEURONAL_DIFFERENTIATION_DN	19	http://www.broadinstitute.org/gsea/msigdb/cards/LE_NEURONAL_DIFFERENTIATION_DN	-0.71807	-1.5243	0.03808	0.24148	0.998	0.579	0.062	0.544	0.15794	0.024
LI_WILMS_TUMOR_ANAPLASTIC_UP	19	http://www.broadinstitute.org/gsea/msigdb/cards/LI_WILMS_TUMOR_ANAPLASTIC_UP	-0.75027	-1.5213	0.02745	0.24463	0.999	0.579	0.083	0.531	0.16197	0.024
HATADA_METHYLATED_IN_LUNG_CANCER_DN	33	http://www.broadinstitute.org/gsea/msigdb/cards/HATADA_METHYLATED_IN_LUNG_CANCER_DN	-0.54924	-1.5191	0.02817	0.24626	0.999	0.364	0.175	0.3	0.16056	0.024
MORI_IMMATURE_B_LYMPHOCYTE_DN	88	http://www.broadinstitute.org/gsea/msigdb/cards/MORI_IMMATURE_B_LYMPHOCYTE_DN	-0.67241	-1.5181	0.04713	0.24469	0.999	0.466	0.0781	0.431	0.16017	0.024
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	83	http://www.broadinstitute.org/gsea/msigdb/cards/MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	-0.64804	-1.516	0.06314	0.24614	0.999	0.41	0.0714	0.382	0.16098	0.025
SHEPARD_CRUSH_AND_BURN_MUTANT_DN	172	http://www.broadinstitute.org/gsea/msigdb/cards/SHEPARD_CRUSH_AND_BURN_MUTANT_DN	-0.47754	-1.5157	0.05315	0.24262	0.999	0.32	0.0875	0.294	0.15834	0.023
MISSIAGLIA_REGULATED_BY_METHYLATION_DN	116	http://www.broadinstitute.org/gsea/msigdb/cards/MISSIAGLIA_REGULATED_BY_METHYLATION_DN	-0.59342	-1.5132	0.05859	0.24482	0.999	0.353	0.0603	0.334	0.16023	0.025
GREENBAUM_E2A_TARGETS_UP	33	http://www.broadinstitute.org/gsea/msigdb/cards/GREENBAUM_E2A_TARGETS_UP	-0.72867	-1.5113	0.06374	0.24565	0.999	0.606	0.0699	0.565	0.16166	0.023
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP	178	http://www.broadinstitute.org/gsea/msigdb/cards/GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP	-0.60011	-1.511	0.05964	0.24251	0.999	0.376	0.0317	0.368	0.15949	0.021
EGUCHI_CELL_CYCLE_RB1_TARGETS	23	http://www.broadinstitute.org/gsea/msigdb/cards/EGUCHI_CELL_CYCLE_RB1_TARGETS	-0.85372	-1.5108	0.01613	0.23924	0.999	0.913	0.121	0.803	0.15719	0.021
SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_DN	22	http://www.broadinstitute.org/gsea/msigdb/cards/SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_DN	-0.74357	-1.5047	0.0505	0.25037	0.999	0.636	0.0599	0.599	0.16329	0.024
GRAHAM_CML_QUIESCENT_VS_NORMAL_QUIESCENT_UP	83	http://www.broadinstitute.org/gsea/msigdb/cards/GRAHAM_CML_QUIESCENT_VS_NORMAL_QUIESCENT_UP	-0.55485	-1.5028	0.06154	0.25134	0.999	0.313	0.0244	0.307	0.16532	0.024
MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN	52	http://www.broadinstitute.org/gsea/msigdb/cards/MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN	-0.68995	-1.5013	0.05743	0.25104	0.999	0.558	0.0599	0.526	0.16688	0.023
SMID_BREAST_CANCER_LUMINAL_A_DN	17	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_LUMINAL_A_DN	-0.83083	-1.5007	0.03175	0.24892	0.999	0.647	0.0793	0.596	0.16549	0.022
