Gene	65_ROSTY_CERVICAL_CANCE	72_SOTIRIOU_BREAST_CANC	78_WHITEFORD_PEDIATRIC_	9_CHEMNITZ_RESPONSE_TO	40_LEE_EARLY_T_LYMPHOCY	12_CROONQUIST_IL6_DEPRI	54_OXFORD_RALA_OR_RALB_	50_NADERI_BREAST_CANCER	73_TANG_SENESCENCE_TP53	80_WU_APOPTOSIS_BY_CDKN	21_FURUKAWA_DUSP6_TARGE	30_HU_GENOTOXIC_DAMAGE_	71_SMID_BREAST_CANCER_R	69_SIMBULAN_PARP1_TARGE	23_GENTLES_LEUKEMIC_STE	60_REACTOME_G1_S_SPECIF	79_WHITFIELD_CELL_CYCLE	1_AMUNDSON_GAMMA_RADIA	39_KONG_E2F3_TARGETS	5_BURTON_ADIPOGENESIS_
CEP55	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
ASPM	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
RACGAP1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1
KIF20A	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1
BUB1B	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0
CDKN3	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TACC3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1
EZH2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
KIF4A	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CDC6	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1
SMC2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1
CCNF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1
BRCA1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1
KIF2C	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1
KIAA0101	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1
DTL	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
RAD51AP1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CCNE1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0
UHRF1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MELK	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CDCA5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CDCA8	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
MCM7	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1
MAD2L1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DTYMK	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CKS1B	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ATAD2	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DSCC1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NDC80	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KIF14	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HMMR	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MCM10	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
E2F8	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF18B	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF15	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OIP5	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GINS1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECT2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CHEK1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
STIL	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRIP13	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FOXM1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
