#	GENE	SYMBOL	DESC	LIST LOC	S2N	RES	CORE_ENRICHMENT
1	CFB	CFB	CFB	25472	-0.508	0.00853	YES
2	C1QC	C1QC	C1QC	25432	-0.488	-0.101	YES
3	C3	C3	C3	25282	-0.445	-0.201	YES
4	C1QB	C1QB	C1QB	25084	-0.406	-0.29	YES
5	C1QA	C1QA	C1QA	24988	-0.389	-0.375	YES
6	C1R	C1R	C1R	24333	-0.314	-0.434	YES
7	C2	C2	C2	23141	-0.247	-0.456	YES
8	C4B	C4B	C4B	22776	-0.233	-0.496	YES
9	MBL2	MBL2	MBL2	22159	-0.213	-0.522	YES
10	CFD	CFD	CFD	21882	-0.206	-0.558	YES
11	C1S	C1S	C1S	21640	-0.2	-0.594	YES
12	MASP1	MASP1	MASP1	20669	-0.179	-0.599	YES
13	C6	C6	C6	16138	-0.113	-0.462	NO
14	C8A	C8A	C8A	10375	-0.0359	-0.262	NO
15	C9	C9	C9	10094	-0.0315	-0.259	NO
16	MASP2	MASP2	MASP2	7245	0.0297	-0.155	NO
17	C7	C7	C7	2742	0.19	0.0141	NO
18	C5	C5	C5	818	0.365	0.0477	NO
