GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	17	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.6834	1.8581	0	1	0.466	0.412	0.13	0.358	0	0.371
REACTOME_RNA_POL_III_TRANSCRIPTION	32	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_III_TRANSCRIPTION	0.57929	1.7764	0.01521	1	0.644	0.375	0.136	0.325	0.87164	0.481
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	15	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	0.63638	1.7658	0.003914	1	0.661	0.333	0.125	0.292	0.67646	0.435
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	20	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.60213	1.7534	0.003876	1	0.699	0.35	0.13	0.305	0.63263	0.404
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	25	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	0.60013	1.7406	0.01344	1	0.728	0.4	0.136	0.346	0.59113	0.383
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	18	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.5981	1.7169	0.02128	1	0.77	0.333	0.125	0.292	0.66624	0.4
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PHOSPHORYLATION_OF_THE_APC_C	0.60448	1.7018	0.02191	1	0.793	0.375	0.125	0.328	0.66628	0.395
MENSSEN_MYC_TARGETS	51	http://www.broadinstitute.org/gsea/msigdb/cards/MENSSEN_MYC_TARGETS	0.47197	1.6898	0.018	1	0.813	0.51	0.241	0.388	0.65322	0.391
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER	22	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER	0.52713	1.6707	0.03876	1	0.851	0.318	0.131	0.277	0.70733	0.416
REACTOME_SIGNALING_BY_NODAL	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_NODAL	0.7866	1.614	0.004049	1	0.937	0.438	0.0438	0.419	1	0.551
REACTOME_INFLUENZA_LIFE_CYCLE	135	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INFLUENZA_LIFE_CYCLE	0.42853	1.6128	0.005803	1	0.937	0.519	0.249	0.392	1	0.525
CHANDRAN_METASTASIS_TOP50_UP	36	http://www.broadinstitute.org/gsea/msigdb/cards/CHANDRAN_METASTASIS_TOP50_UP	0.45957	1.5993	0.01364	1	0.953	0.417	0.185	0.34	1	0.547
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	104	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.40913	1.5945	0.02178	1	0.956	0.442	0.226	0.344	1	0.544
NGO_MALIGNANT_GLIOMA_1P_LOH	16	http://www.broadinstitute.org/gsea/msigdb/cards/NGO_MALIGNANT_GLIOMA_1P_LOH	0.64479	1.5777	0.02481	1	0.967	0.562	0.213	0.443	1	0.573
