GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
YAO_HOXA10_TARGETS_VIA_PROGESTERONE_DN	17	http://www.broadinstitute.org/gsea/msigdb/cards/YAO_HOXA10_TARGETS_VIA_PROGESTERONE_DN	-0.63269	-1.7995	0.01006	1	0.601	0.706	0.261	0.522	1	0.576
MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_DN	19	http://www.broadinstitute.org/gsea/msigdb/cards/MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_DN	-0.67722	-1.7851	0.02947	1	0.632	0.368	0.0824	0.338	0.99323	0.5
ONO_AML1_TARGETS_DN	39	http://www.broadinstitute.org/gsea/msigdb/cards/ONO_AML1_TARGETS_DN	-0.63469	-1.7661	0.001919	1	0.675	0.538	0.203	0.43	0.8701	0.47
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	29	http://www.broadinstitute.org/gsea/msigdb/cards/BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	-0.65754	-1.7377	0.0155	1	0.732	0.517	0.185	0.422	0.97445	0.495
WILENSKY_RESPONSE_TO_DARAPLADIB	29	http://www.broadinstitute.org/gsea/msigdb/cards/WILENSKY_RESPONSE_TO_DARAPLADIB	-0.63789	-1.7244	0.009921	1	0.751	0.517	0.166	0.432	0.81471	0.449
WU_ALZHEIMER_DISEASE_DN	17	http://www.broadinstitute.org/gsea/msigdb/cards/WU_ALZHEIMER_DISEASE_DN	-0.60365	-1.7244	0.007858	1	0.751	0.529	0.274	0.385	0.97765	0.495
MCLACHLAN_DENTAL_CARIES_UP	226	http://www.broadinstitute.org/gsea/msigdb/cards/MCLACHLAN_DENTAL_CARIES_UP	-0.56491	-1.7117	0.02226	1	0.782	0.5	0.191	0.408	0.81738	0.45
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	122	http://www.broadinstitute.org/gsea/msigdb/cards/ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	-0.5342	-1.7087	0.01541	1	0.786	0.467	0.196	0.378	0.76948	0.42
BIOCARTA_COMP_PATHWAY	18	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_COMP_PATHWAY	-0.63823	-1.7013	0.003731	1	0.798	0.667	0.196	0.537	0.73298	0.409
MAHADEVAN_RESPONSE_TO_MP470_UP	19	http://www.broadinstitute.org/gsea/msigdb/cards/MAHADEVAN_RESPONSE_TO_MP470_UP	-0.73349	-1.6996	0.00566	1	0.799	0.474	0.0949	0.429	0.66251	0.388
LEE_LIVER_CANCER_MYC_DN	59	http://www.broadinstitute.org/gsea/msigdb/cards/LEE_LIVER_CANCER_MYC_DN	-0.469	-1.6953	0.03599	1	0.801	0.322	0.138	0.278	0.65197	0.367
