Gene	14_MCLACHLAN_DENTAL_CAR	9_ICHIBA_GRAFT_VERSUS_	8_FLECHNER_BIOPSY_KIDN	12_MARKEY_RB1_CHRONIC_L	6_DAWSON_METHYLATED_IN	10_LEE_LIVER_CANCER_MYC	19_ONO_AML1_TARGETS_DN	20_ONO_FOXP3_TARGETS_DN	37_WILENSKY_RESPONSE_TO	1_BENNETT_SYSTEMIC_LUP	17_NIELSEN_GIST_AND_SYN	40_ZHAN_MULTIPLE_MYELOM	39_YAO_HOXA10_TARGETS_V	2_BIOCARTA_COMP_PATHWA	4_CHEN_ETV5_TARGETS_SE	36_VALK_AML_CLUSTER_4	11_MAHADEVAN_RESPONSE_T	38_WU_ALZHEIMER_DISEASE	13_MASRI_RESISTANCE_TO_	18_OLSSON_E2F3_TARGETS_
CCL5	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0
SLFN12L	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CXCR4	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CD84	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SLAMF6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
IL17A	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
RUNX2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SELL	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
IL4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
FFAR2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
IL17RA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TNFSF8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNX3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CREM	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IL10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR83	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GZMA	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CXCR6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FASLG	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C1QA	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C1QC	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ACTG2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTA1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IGFBP2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEPT11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPI1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFBP3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDM5B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZDHHC14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRCT1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPD52L1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMP3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGF	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
