Gene	4_CREIGHTON_ENDOCRINE_	32_ROPERO_HDAC2_TARGETS	8_GRADE_COLON_AND_RECT	2_BILANGES_SERUM_RESPO	28_REACTOME_FORMATION_O	36_SOTIRIOU_BREAST_CANC	37_TAKADA_GASTRIC_CANCE	3_BRIDEAU_IMPRINTED_GE	29_REACTOME_RNA_POL_III	5_EBAUER_TARGETS_OF_PA	10_HEDENFALK_BREAST_CAN	18_NGO_MALIGNANT_GLIOMA	35_SIG_REGULATION_OF_TH	19_NIELSEN_MALIGNAT_FIB	30_REACTOME_SIGNALING_B	14_LEIN_LOCALIZED_TO_PR	39_VALK_AML_CLUSTER_13	27_REACTOME_ERK_MAPK_TA	13_KEGG_GLYCINE_SERINE_	25_RASHI_RESPONSE_TO_IO
RPS20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3E	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF1AX	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1A1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1B2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL4D	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYT10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4X	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RPS6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3F	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS7	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
CAND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YLPM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
