GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN	29	http://www.broadinstitute.org/gsea/msigdb/cards/TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN	0.54741	1.8836	0.008097	0.44722	0.391	0.552	0.293	0.39	0	0.146
RASHI_RESPONSE_TO_IONIZING_RADIATION_3	46	http://www.broadinstitute.org/gsea/msigdb/cards/RASHI_RESPONSE_TO_IONIZING_RADIATION_3	0.40107	1.7621	0.001923	1	0.775	0.217	0.165	0.182	0.65855	0.345
PID_GLYPICAN_1PATHWAY	27	http://www.broadinstitute.org/gsea/msigdb/cards/PID_GLYPICAN_1PATHWAY	0.544	1.7145	0.002092	1	0.864	0.185	0.0673	0.173	0.76755	0.419
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	0.62896	1.6976	0.01025	1	0.903	0.5	0.201	0.4	0.71808	0.372
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	26	http://www.broadinstitute.org/gsea/msigdb/cards/SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	0.49869	1.6276	0.002092	1	0.981	0.115	0.0179	0.113	1	0.62
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	0.64561	1.6192	0.01411	1	0.99	0.25	0.0466	0.238	1	0.583
SCHURINGA_STAT5A_TARGETS_UP	20	http://www.broadinstitute.org/gsea/msigdb/cards/SCHURINGA_STAT5A_TARGETS_UP	0.48969	1.6021	0.008316	1	0.995	0.1	0.0129	0.0988	1	0.59
GRATIAS_RETINOBLASTOMA_16Q24	15	http://www.broadinstitute.org/gsea/msigdb/cards/GRATIAS_RETINOBLASTOMA_16Q24	0.55961	1.5807	0.04715	1	0.997	0.6	0.252	0.449	1	0.651
MIKKELSEN_ES_HCP_WITH_H3K27ME3	38	http://www.broadinstitute.org/gsea/msigdb/cards/MIKKELSEN_ES_HCP_WITH_H3K27ME3	0.58941	1.5798	0.018	1	0.997	0.5	0.283	0.359	1	0.582
BILANGES_SERUM_RESPONSE_TRANSLATION	36	http://www.broadinstitute.org/gsea/msigdb/cards/BILANGES_SERUM_RESPONSE_TRANSLATION	0.45168	1.5628	0.064	1	0.998	0.333	0.165	0.279	1	0.619
SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP	95	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP	0.41472	1.551	0.02405	1	0.998	0.326	0.223	0.254	1	0.637
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	24	http://www.broadinstitute.org/gsea/msigdb/cards/GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	0.5226	1.5492	0.02041	1	0.998	0.333	0.197	0.268	1	0.598
ROPERO_HDAC2_TARGETS	104	http://www.broadinstitute.org/gsea/msigdb/cards/ROPERO_HDAC2_TARGETS	0.32082	1.5414	0.0207	1	0.998	0.202	0.161	0.17	1	0.592
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	47	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.42855	1.5324	0.04268	1	0.998	0.213	0.156	0.18	1	0.587
KEGG_HISTIDINE_METABOLISM	28	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_HISTIDINE_METABOLISM	0.46319	1.5169	0.05522	1	0.998	0.214	0.157	0.181	1	0.632
CHUNG_BLISTER_CYTOTOXICITY_DN	42	http://www.broadinstitute.org/gsea/msigdb/cards/CHUNG_BLISTER_CYTOTOXICITY_DN	0.39536	1.504	0.02136	1	1	0.0714	0.00385	0.0713	1	0.679
SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN	82	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN	0.41709	1.5037	0.0625	1	1	0.268	0.155	0.227	1	0.633
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	17	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.52993	1.5035	0.06017	1	1	0.471	0.201	0.376	1	0.598
CERVERA_SDHB_TARGETS_1_UP	110	http://www.broadinstitute.org/gsea/msigdb/cards/CERVERA_SDHB_TARGETS_1_UP	0.367	1.4995	0.04242	1	1	0.164	0.0922	0.149	1	0.594
HASLINGER_B_CLL_WITH_13Q14_DELETION	23	http://www.broadinstitute.org/gsea/msigdb/cards/HASLINGER_B_CLL_WITH_13Q14_DELETION	0.52131	1.4966	0.06478	1	1	0.217	0.0767	0.201	1	0.575
BIOCARTA_CTCF_PATHWAY	23	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CTCF_PATHWAY	0.50942	1.4853	0.0375	1	1	0.13	0.0164	0.128	1	0.611
LIU_IL13_PRIMING_MODEL	15	http://www.broadinstitute.org/gsea/msigdb/cards/LIU_IL13_PRIMING_MODEL	0.60339	1.4827	0.09419	1	1	0.333	0.15	0.284	1	0.592
WHITEHURST_PACLITAXEL_SENSITIVITY	38	http://www.broadinstitute.org/gsea/msigdb/cards/WHITEHURST_PACLITAXEL_SENSITIVITY	0.36276	1.4809	0.06748	1	1	0.211	0.153	0.179	1	0.566
YAUCH_HEDGEHOG_SIGNALING_PARACRINE_UP	141	http://www.broadinstitute.org/gsea/msigdb/cards/YAUCH_HEDGEHOG_SIGNALING_PARACRINE_UP	0.34257	1.4806	0.00611	1	1	0.142	0.0764	0.132	1	0.548
REACTOME_SIGNALING_BY_NODAL	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_NODAL	0.66504	1.4797	0.05858	1	1	0.562	0.141	0.483	1	0.539
WIKMAN_ASBESTOS_LUNG_CANCER_DN	26	http://www.broadinstitute.org/gsea/msigdb/cards/WIKMAN_ASBESTOS_LUNG_CANCER_DN	0.42325	1.4769	0.0495	1	1	0.154	0.0757	0.142	1	0.529
KYNG_NORMAL_AGING_UP	18	http://www.broadinstitute.org/gsea/msigdb/cards/KYNG_NORMAL_AGING_UP	0.51968	1.4765	0.06526	1	1	0.278	0.0804	0.256	1	0.514
NIKOLSKY_BREAST_CANCER_5P15_AMPLICON	25	http://www.broadinstitute.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_5P15_AMPLICON	0.47974	1.4707	0.1265	1	1	0.8	0.389	0.489	1	0.513
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	415	http://www.broadinstitute.org/gsea/msigdb/cards/CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	0.53876	1.4695	0.08761	1	1	0.405	0.16	0.346	1	0.509
KEGG_ETHER_LIPID_METABOLISM	31	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ETHER_LIPID_METABOLISM	0.48306	1.4661	0.101	1	1	0.355	0.201	0.284	1	0.504
CHANGOLKAR_H2AFY_TARGETS_DN	37	http://www.broadinstitute.org/gsea/msigdb/cards/CHANGOLKAR_H2AFY_TARGETS_DN	0.46022	1.4657	0.02521	1	1	0.216	0.067	0.202	0.98392	0.495
VANTVEER_BREAST_CANCER_ESR1_UP	162	http://www.broadinstitute.org/gsea/msigdb/cards/VANTVEER_BREAST_CANCER_ESR1_UP	0.36119	1.465	0.05823	1	1	0.37	0.258	0.276	0.95317	0.48
WENG_POR_TARGETS_GLOBAL_DN	22	http://www.broadinstitute.org/gsea/msigdb/cards/WENG_POR_TARGETS_GLOBAL_DN	0.48266	1.4618	0.05112	1	1	0.409	0.214	0.322	0.94601	0.477
ST_GAQ_PATHWAY	27	http://www.broadinstitute.org/gsea/msigdb/cards/ST_GAQ_PATHWAY	0.37931	1.4604	0.06413	1	1	0.111	0.0433	0.106	0.92437	0.467
