GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
MACLACHLAN_BRCA1_TARGETS_UP	20	http://www.broadinstitute.org/gsea/msigdb/cards/MACLACHLAN_BRCA1_TARGETS_UP	-0.68766	-1.9779	0	0.29596	0.146	0.6	0.209	0.475	0	0.136
DUNNE_TARGETS_OF_AML1_MTG8_FUSION_UP	48	http://www.broadinstitute.org/gsea/msigdb/cards/DUNNE_TARGETS_OF_AML1_MTG8_FUSION_UP	-0.58206	-1.9426	0	0.2417	0.216	0.271	0.12	0.239	0	0.08
LAMB_CCND1_TARGETS	19	http://www.broadinstitute.org/gsea/msigdb/cards/LAMB_CCND1_TARGETS	-0.55684	-1.8954	0.02196	0.34717	0.334	0.474	0.27	0.346	0	0.111
THILLAINADESAN_ZNF217_TARGETS_UP	42	http://www.broadinstitute.org/gsea/msigdb/cards/THILLAINADESAN_ZNF217_TARGETS_UP	-0.63394	-1.8887	0	0.28616	0.353	0.357	0.099	0.322	0	0.081
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	17	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	-0.61493	-1.8764	0	0.27198	0.381	0.412	0.179	0.338	0	0.077
FAELT_B_CLL_WITH_VH3_21_UP	42	http://www.broadinstitute.org/gsea/msigdb/cards/FAELT_B_CLL_WITH_VH3_21_UP	-0.49212	-1.8615	0.01793	0.27784	0.429	0.381	0.251	0.286	0	0.074
SESTO_RESPONSE_TO_UV_C7	68	http://www.broadinstitute.org/gsea/msigdb/cards/SESTO_RESPONSE_TO_UV_C7	-0.5474	-1.8528	0	0.27151	0.455	0.485	0.219	0.38	0	0.066
GAL_LEUKEMIC_STEM_CELL_DN	233	http://www.broadinstitute.org/gsea/msigdb/cards/GAL_LEUKEMIC_STEM_CELL_DN	-0.48083	-1.8089	0	0.42791	0.6	0.266	0.13	0.234	0.19983	0.111
REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS	26	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS	-0.50058	-1.7931	0.01186	0.46525	0.646	0.462	0.268	0.338	0.22782	0.131
HINATA_NFKB_TARGETS_KERATINOCYTE_DN	22	http://www.broadinstitute.org/gsea/msigdb/cards/HINATA_NFKB_TARGETS_KERATINOCYTE_DN	-0.71334	-1.7873	0.00759	0.4576	0.671	0.409	0.105	0.367	0.22063	0.122
MATTIOLI_MGUS_VS_PCL	93	http://www.broadinstitute.org/gsea/msigdb/cards/MATTIOLI_MGUS_VS_PCL	-0.53216	-1.7838	0.004	0.43436	0.682	0.505	0.257	0.377	0.20595	0.114
SHEPARD_BMYB_MORPHOLINO_DN	192	http://www.broadinstitute.org/gsea/msigdb/cards/SHEPARD_BMYB_MORPHOLINO_DN	-0.50569	-1.7813	0.006048	0.4115	0.694	0.292	0.16	0.247	0.19615	0.102
LINDGREN_BLADDER_CANCER_CLUSTER_1_DN	360	http://www.broadinstitute.org/gsea/msigdb/cards/LINDGREN_BLADDER_CANCER_CLUSTER_1_DN	-0.52819	-1.779	0.006036	0.39213	0.699	0.4	0.192	0.328	0.18395	0.089
MARSHALL_VIRAL_INFECTION_RESPONSE_DN	29	http://www.broadinstitute.org/gsea/msigdb/cards/MARSHALL_VIRAL_INFECTION_RESPONSE_DN	-0.57289	-1.7787	0.001938	0.36549	0.7	0.448	0.257	0.333	0.17158	0.079
BIOCARTA_CELLCYCLE_PATHWAY	23	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CELLCYCLE_PATHWAY	-0.67368	-1.7762	0.005703	0.35256	0.706	0.435	0.0909	0.396	0.17309	0.074
NIELSEN_LIPOSARCOMA_UP	17	http://www.broadinstitute.org/gsea/msigdb/cards/NIELSEN_LIPOSARCOMA_UP	-0.60757	-1.7742	0.002037	0.33875	0.712	0.588	0.22	0.459	0.16525	0.071
MORI_PRE_BI_LYMPHOCYTE_UP	80	http://www.broadinstitute.org/gsea/msigdb/cards/MORI_PRE_BI_LYMPHOCYTE_UP	-0.70864	-1.7731	0.00202	0.32333	0.712	0.412	0.122	0.363	0.15583	0.062
SUNG_METASTASIS_STROMA_DN	50	http://www.broadinstitute.org/gsea/msigdb/cards/SUNG_METASTASIS_STROMA_DN	-0.59952	-1.7696	0.003831	0.31931	0.72	0.66	0.273	0.481	0.15786	0.063
SMITH_TERT_TARGETS_DN	87	http://www.broadinstitute.org/gsea/msigdb/cards/SMITH_TERT_TARGETS_DN	-0.40594	-1.7692	0	0.3044	0.721	0.253	0.154	0.215	0.14955	0.058
KIM_TIAL1_TARGETS	30	http://www.broadinstitute.org/gsea/msigdb/cards/KIM_TIAL1_TARGETS	-0.52207	-1.7644	0.01594	0.30824	0.733	0.267	0.0998	0.24	0.15121	0.057
AUNG_GASTRIC_CANCER	50	http://www.broadinstitute.org/gsea/msigdb/cards/AUNG_GASTRIC_CANCER	-0.54749	-1.7609	0.002004	0.30654	0.747	0.44	0.198	0.354	0.1576	0.058
JEON_SMAD6_TARGETS_DN	19	http://www.broadinstitute.org/gsea/msigdb/cards/JEON_SMAD6_TARGETS_DN	-0.73635	-1.7597	0.0161	0.29713	0.751	0.263	0.0272	0.256	0.15105	0.057
