Gene	35_SMID_BREAST_CANCER_R	36_SMID_BREAST_CANCER_R	30_ROPERO_HDAC2_TARGETS	20_MIKKELSEN_ES_HCP_WIT	3_CERVERA_SDHB_TARGETS	39_TAKADA_GASTRIC_CANCE	1_BILANGES_SERUM_RESPO	27_REACTOME_NUCLEAR_REC	24_RASHI_RESPONSE_TO_IO	9_GRATIAS_RETINOBLASTO	26_REACTOME_ACYL_CHAIN_	12_KEGG_ALPHA_LINOLENIC	8_GAZDA_DIAMOND_BLACKF	13_KEGG_HISTIDINE_METAB	10_HASLINGER_B_CLL_WITH	23_PID_GLYPICAN_1PATHWA	28_REACTOME_NUCLEOTIDE_	4_CHUNG_BLISTER_CYTOTO	34_SIG_IL4RECEPTOR_IN_B	31_SCHURINGA_STAT5A_TAR
ACOX3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLA2G12B	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLA2G5	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
LPGAT1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CRLS1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PLA2G1B	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PLA2G2E	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PLA2G4A	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PLA2G12A	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
NR2F1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AR	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
NR4A2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HNF4G	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NRBF2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ESRRG	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NR3C2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RXRB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RORA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PGR	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LEPR	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
FAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HNRNPR	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SESN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DPY19L1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NUFIP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NUP62CL	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PDK3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
PTPLAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SLC40A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MAOA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ALDH3B1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ALDH3A2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MAOB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HNMT	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LCMT1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ST6GALNAC2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK32B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRIP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4BP2L2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALCAM	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF446	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM47	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEPTOR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCN3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL6ST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA2P5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GREB1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERBB4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSD3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIN7A	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNALI1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOX3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CITED1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMP4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPS2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PP14571	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE4DIP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHAD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NELL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM134B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCGB1D2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCCPDH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCUBE2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADSB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCGB2A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOM1L1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAPGEF3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INPP4B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGAM	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATRNL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC1A1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLXDC2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOF	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC20B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCTR	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHOX2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCNR1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDN1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMPDL3B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYPD1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMC2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM81B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLCO5A1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LONRF2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUSD4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIMKLA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2D6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST3GAL1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf68	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1D	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCNXL2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOPEY1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE4D	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXNIP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAPC1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PART1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLR6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLEC1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STEAP1B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC93432	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BNIP3L	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDM2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RAVER2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4X	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1B2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SYT10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL4D	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNIP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHOX2B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCND3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPPED1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR2F2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1E	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDRD1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAPPC2L	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COX4I1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ZCCHC14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MBTPS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ZDHHC7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
USP10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CHMP1A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANKRD11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
KIAA0513	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FNDC3A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMRT3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEK	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTAP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM154A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNV2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWOX	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYSLTR2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0020	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VLDLR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FASTKD2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDH1B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMARCA2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASEH2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EPB41L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RBMS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SSBP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TUBGCP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
P2RY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
P2RY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LPAR6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LPAR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PRNP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TDGF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SMAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TGFB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
BLK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NINJ1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PDGFB	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SPR	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YLPM1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CAND1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CREB1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TRABD	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACVR2B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PDK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IRS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AKT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
