Gene	16_LINDGREN_BLADDER_CAN	7_GAL_LEUKEMIC_STEM_CE	33_SHEPARD_BMYB_MORPHOL	19_MATTIOLI_MGUS_VS_PCL	21_MORI_PRE_BI_LYMPHOCY	32_SESTO_RESPONSE_TO_UV	38_SUNG_METASTASIS_STRO	37_SMITH_TERT_TARGETS_D	6_FAELT_B_CLL_WITH_VH3	40_THILLAINADESAN_ZNF21	5_DUNNE_TARGETS_OF_AML	18_MARSHALL_VIRAL_INFEC	29_REACTOME_THE_ROLE_OF	17_MACLACHLAN_BRCA1_TAR	22_NIELSEN_LIPOSARCOMA_	2_BIOCARTA_CELLCYCLE_P	11_HINATA_NFKB_TARGETS_	15_LAMB_CCND1_TARGETS	25_REACTOME_ACTIVATED_T	14_KIM_TIAL1_TARGETS
PCNA	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0
IGFBP2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MT1X	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
MT1E	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PNP	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
MCM5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPF	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PKMYT1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
HIPK2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MT1F	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LGALS2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC45	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BYSL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DEK	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GMNN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NOLC1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF367	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PARP4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MCMBP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HCP5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EML1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DERA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NPC2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PARP2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NOP56	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IL13RA2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IFI30	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SIRPA	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
VSNL1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CBR1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EHHADH	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PGF	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DHCR24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AHCY	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TNFSF10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SERPING1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MMP2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IDI1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RAB11A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NSDHL	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KYNU	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PML	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DNA2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STMN1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDH2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC25B	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TK1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASNS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CEBPD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRCP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCN1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASS1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDC1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YARS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH3B2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
