Gene	74_VECCHI_GASTRIC_CANCE	15_DELYS_THYROID_CANCER	10_CHIANG_LIVER_CANCER_	29_HOSHIDA_LIVER_CANCER	81_YAUCH_HEDGEHOG_SIGNA	41_LEE_LIVER_CANCER_E2F	66_SCHLESINGER_METHYLAT	51_NAKAYAMA_SOFT_TISSUE	64_RICKMAN_HEAD_AND_NEC	3_BIOCARTA_BAD_PATHWAY	56_REACTOME_AQUAPORIN_M	61_REACTOME_NEPHRIN_INT	34_KEGG_ETHER_LIPID_MET	8_CHEMELLO_SOLEUS_VS_E	4_BIOCARTA_NOS1_PATHWA	59_REACTOME_FORMATION_O	35_KEGG_PRIMARY_BILE_AC	62_REACTOME_PHASE1_FUNC	36_KEGG_RETINOL_METABOL	37_KEGG_TYROSINE_METABO
ADH1B	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
MAOA	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
ADH1C	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
MAOB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
ABCA8	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
PDK4	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
SFRP1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CHRDL1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
PRKACB	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
PRKAR2B	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
PRKAR1A	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
ALDH1A1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
GHR	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AOX1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PNPLA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYP3A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
CYP39A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
CYP2U1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IGF1R	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CSF2RB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
KITLG	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MAPK1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PIK3R1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
PIK3CA	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
MAGI2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CD2AP	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SPTAN1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
WASL	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IQGAP1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FYN	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NCK1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CFH	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPS1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDH1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTO1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAT	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC90B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4BPA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR37	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ME1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RARRES1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ITPR1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BCL2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
KIT	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GNG11	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SLC4A4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KA5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFPI	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SPTBN1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ZFPM2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
STARD13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42EP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEZ1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPZ2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP36L2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MATN2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
