Sample_Id	Group	Malignant	Benign	New_Id
20160212_kulbe_20160212_kulbe_G3	benign	1	2	B1
20160212_kulbe_20160212_kulbe_G5	benign	1	2	B2
20160212_kulbe_20160212_kulbe_G6	benign	1	2	B3
20160212_kulbe_20160212_kulbe_G7	benign	1	2	B4
20160212_kulbe_20160212_kulbe_G9	benign	1	2	B5
20160212_kulbe_20160212_kulbe_G10	benign	1	2	B6
20160303_206601230717_12_rna_1_12	benign	1	2	B7
20160303_206601230717_10_rna_3_10	benign	1	2	B9
20160303_206601230717_09_rna_4_09	benign	1	2	B10
20160303_206601230717_08_rna_5_08	benign	1	2	B11
20160303_206601230717_07_rna_7_07	benign	1	2	B12
20160303_206601230717_06_rna_8c_06	benign	1	2	B13
20160212_kulbe_20160212_kulbe_G12	malignant	2	1	M1
20160212_kulbe_20160212_kulbe_G13	malignant	2	1	M2
20160212_kulbe_20160212_kulbe_G14	malignant	2	1	M3
20160212_kulbe_20160212_kulbe_G17	malignant	2	1	M4
20160212_kulbe_20160212_kulbe_G18	malignant	2	1	M5
20160212_kulbe_20160212_kulbe_G19	malignant	2	1	M6
20160303_206601230717_05_rna_11_05	malignant	2	1	M7
20160303_206601230717_04_rna_11_3c_04	malignant	2	1	M8
20160303_206601230717_03_rna_15_03	malignant	2	1	M9
20160303_206601230717_02_rna_16c_02	malignant	2	1	M10
20160303_206601230717_01_rna_20_01	malignant	2	1	M11
20170315_20170315_1_01_PaxGene_1_01	benign	1		B1
20170315_20170315_1_02_PaxGene_2_02	benign	1		B2
20170315_20170315_1_03_PaxGene_3_03	benign	1		B3
20170315_20170315_1_04_PaxGene_4_04	benign	1		B4
20170315_20170315_1_05_PaxGene_5_05	benign	1		B5
20170315_20170315_1_06_PaxGene_6_06	benign	1		B6
20170315_20170315_1_07_PaxGene_7_07	benign	1		B7
20170315_20170315_1_08_PaxGene_8_08	benign	1		B8
20170315_20170315_1_09_PaxGene_9_09	benign	1		B9
20170315_20170315_1_10_PaxGene_10_10	benign	1		B10
20170315_20170315_1_11_PaxGene_11_11	malignant	2		M1
20170315_20170315_1_12_PaxGene_12_12	malignant	2		M2
20170315_2_01_PaxGene_13_01	malignant	2		M3
20170315_2_02_PaxGene_14_02	malignant	2		M4
20170315_2_03_PaxGene_15_03	malignant	2		M5
20170315_2_04_PaxGene_16_04	malignant	2		M6
20170315_2_05_PaxGene_17_05	malignant	2		M7
20170315_2_06_PaxGene_18_06	malignant	2		M8
20170315_2_07_PaxGene_19_07	malignant	2		M9
20170315_2_08_PaxGene_20_08	malignant	2		M10
20170315_2_09_PaxGene_21_09	healthy			H1
20170315_2_10_PaxGene_22_10	healthy			H2
20170315_2_11_PaxGene_23_11	healthy			H3
20170315_2_12_PaxGene_24_12	healthy			H4
