1	2	3	Mean	SD	CV	Missing	P_Malignant	FC_Malignant	Q_Malignant	P_Benign	FC_Benign	Q_Benign
Endogenous	CLDN6	NM_021195.4	4.5	3.3	72.1	4.3	0.00041	4.7	0.0035	0.00041	-4.7	0.0035
Endogenous	MAL	NM_002371.2	6.3	2.8	44.7	0	0.0038	3.5	23	0.0038	-3.5	23
Endogenous	MELK	NM_014791.2	6.9	1.9	27.4	0	3.9e-05	2.9	0.00078	3.9e-05	-2.9	0.00078
Endogenous	DTL	NM_016448.2	5.4	1.8	33.7	0	2.3e-05	2.8	0.00069	2.3e-05	-2.8	0.00069
Endogenous	CFB	NM_001710.5	9.2	1.6	17.8	0	6.2e-05	2.4	0.00094	6.2e-05	-2.4	0.00094
Endogenous	FUT2	NM_000511.5	4.8	1.7	36.1	0	0.00034	2.3	0.0034	0.00034	-2.3	0.0034
Endogenous	ISG15	NM_005101.3	10.2	1.7	16.4	0	0.0015	2.1	0.01	0.0015	-2.1	0.01
Endogenous	SPP1	NM_000582.2	11.5	2.4	21.1	0	0.08	1.8	0.24	0.08	-1.8	0.24
Endogenous	BMP7	NM_001719.1	6.5	2.3	34.6	0	68	1.8	0.22	68	-1.8	0.22
Endogenous	AURKA	NM_003600.2	7.4	1.3	17.4	0	0.00068	1.7	0.0051	0.00068	-1.7	0.0051
Endogenous	NR2F6	NM_005234.3	8.4	1.1	13	0	0.00012	1.6	0.0015	0.00012	-1.6	0.0015
Endogenous	OAS2	NM_016817.2	8.3	1.5	18.2	0	0.0068	1.6	37	0.0068	-1.6	37
Endogenous	TNFSF10	NM_003810.2	9.1	1.3	14	0	16	1.3	68	16	-1.3	68
Endogenous	FGF18	NM_003862.1	6.7	1.9	28.8	0	0.1	1.3	0.25	0.1	-1.3	0.25
Endogenous	LRP2	NM_004525.2	4.4	1.7	38.7	0	94	1.2	0.25	94	-1.2	0.25
Endogenous	IFITM1	NM_003641.3	12.5	1.2	9.7	0	22	1.2	83	22	-1.2	83
Housekeeping	GAPDH	NM_002046.3	14.6	0.9	6.4	0	25	0.9	88	25	-0.9	88
Endogenous	CALR	NM_004343.2	13	0.8	6.1	0	0.02	0.8	0.08	0.02	-0.8	0.08
Endogenous	ADAMTSL5	NM_213604.1	3.6	0.9	25.7	0	0.23	0.5	0.48	0.23	-0.5	0.48
Negative	NEG_E(0)	ERCC_00098.1	1.9	1.2	62.1	13	0.4	0.4	0.66	0.4	-0.4	0.66
Housekeeping	B2M	NM_004048.2	14.6	0.8	5.4	0	0.23	0.4	0.48	0.23	-0.4	0.48
Endogenous	SLC6A8	NM_001142805.1	8.5	1.1	12.4	0	0.57	0.3	0.78	0.57	-0.3	0.78
Endogenous	PLEK	NM_002664.2	8.2	1.3	16.1	0	0.74	0.2	0.9	0.74	-0.2	0.9
Endogenous	ICMT	NM_012405.3	9.8	0.6	6.5	0	0.38	0.2	0.66	0.38	-0.2	0.66
Endogenous	FGF9	NM_002010.2	6.2	1.5	23.9	0	0.76	0.2	0.9	0.76	-0.2	0.9
Endogenous	PTP4A2	NM_080392.2	11.7	0.7	5.7	0	0.59	0.2	0.79	0.59	-0.2	0.79
Endogenous	RALBP1	NM_006788.3	10	0.6	6.4	0	0.51	0.2	0.73	0.51	-0.2	0.73
Negative	NEG_B(0)	ERCC_00041.1	2.1	0.7	32.1	4.3	0.56	0.2	0.78	0.56	-0.2	0.78
Endogenous	NPC2	NM_006432.3	12.9	0.8	6.1	0	0.75	0.1	0.9	0.75	-0.1	0.9
Positive	POS_F(0.125)	ERCC_00117.1	5.3	0.4	7.9	0	0.65	0.1	0.84	0.65	-0.1	0.84
