Mean	SD	CV	Missing	P_Malignant	FC_Malignant	Q_Malignant	P_Benign	FC_Benign	Q_Benign
4.8	1.7	36.1	0	0.00034	2.3	0.0034	0.00034	-2.3	0.0034
10.2	1.7	16.4	0	0.0015	2.1	0.01	0.0015	-2.1	0.01
8.9	1.1	12.8	0	0.099	-0.8	0.25	0.099	0.8	0.25
6.8	1.2	18	0	4.4e-06	2	0.00026	4.4e-06	-2	0.00026
6.7	0.6	8.5	0	0.9	0	0.97	0.9	0	0.97
5.4	1.8	33.7	0	2.3e-05	2.8	0.00069	2.3e-05	-2.8	0.00069
8.4	1.1	13	0	0.00012	1.6	0.0015	0.00012	-1.6	0.0015
6.2	1.1	17.4	0	0.38	-0.4	0.66	0.38	0.4	0.66
12.9	0.8	6.1	0	0.75	0.1	0.9	0.75	-0.1	0.9
8.2	1.3	16.1	0	0.74	0.2	0.9	0.74	-0.2	0.9
11.8	1	8.7	0	0.13	-0.7	0.29	0.13	0.7	0.29
8.7	0.7	8.6	0	0.83	-0.1	0.91	0.83	0.1	0.91
9.4	0.9	9.2	0	0.41	-0.3	0.66	0.41	0.3	0.66
8.8	1.4	16.2	0	0.95	0	0.97	0.95	0	0.97
4.4	1.7	38.7	0	0.094	1.2	0.25	0.094	-1.2	0.25
10	0.9	8.7	0	0.0097	-0.9	0.045	0.0097	0.9	0.045
9.6	1	10.3	0	0.49	-0.3	0.72	0.49	0.3	0.72
9.2	1.4	14.7	0	0.089	1	0.25	0.089	-1	0.25
8.6	1	11.4	0	0.27	-0.5	0.53	0.27	0.5	0.53
8.2	1.8	22.1	0	0.06	-1.4	0.2	0.06	1.4	0.2
8.3	1.5	18.2	0	0.0068	1.6	0.037	0.0068	-1.6	0.037
9	1.5	16.9	0	0.1	-1	0.25	0.1	1	0.25
6.3	2.8	44.7	0	0.0038	3.5	0.023	0.0038	-3.5	0.023
9.2	1.6	17.8	0	6.2e-05	2.4	0.00094	6.2e-05	-2.4	0.00094
3.6	0.9	25.7	0	0.23	0.5	0.48	0.23	-0.5	0.48
9.8	0.6	6.5	0	0.38	0.2	0.66	0.38	-0.2	0.66
9.1	1.3	14	0	0.016	1.3	0.068	0.016	-1.3	0.068
8.5	1.1	12.4	0	0.57	0.3	0.78	0.57	-0.3	0.78
6.2	1.5	23.9	0	0.76	0.2	0.9	0.76	-0.2	0.9
11.5	2.4	21.1	0	0.08	1.8	0.24	0.08	-1.8	0.24
7.6	1.3	17.5	0	0.47	-0.4	0.72	0.47	0.4	0.72
13	0.8	6.1	0	0.02	0.8	0.08	0.02	-0.8	0.08
4.5	3.3	72.1	4.3	0.00041	4.7	0.0035	0.00041	-4.7	0.0035
6.5	2.3	34.6	0	0.068	1.8	0.22	0.068	-1.8	0.22
10.4	1.8	17.8	0	0.0097	-2	0.045	0.0097	2	0.045
6.7	1.9	28.8	0	0.1	1.3	0.25	0.1	-1.3	0.25
7.4	1.3	17.4	0	0.00068	1.7	0.0051	0.00068	-1.7	0.0051
8.6	2.2	25.4	0	0.28	1	0.55	0.28	-1	0.55
11.7	0.7	5.7	0	0.59	0.2	0.79	0.59	-0.2	0.79
6.9	1.9	27.4	0	3.9e-05	2.9	0.00078	3.9e-05	-2.9	0.00078
7.3	0.6	8.3	0	0.94	0	0.97	0.94	0	0.97
8.1	1.7	20.5	0	0.11	-1.1	0.25	0.11	1.1	0.25
10	0.6	6.4	0	0.51	0.2	0.73	0.51	-0.2	0.73
12.5	1.2	9.7	0	0.022	1.2	0.083	0.022	-1.2	0.083
9.8	2.2	22.4	0	0.66	-0.4	0.85	0.66	0.4	0.85
8.7	1.9	21.4	0	0.93	-0.1	0.97	0.93	0.1	0.97
12.6	0.2	1.6	0	0.49	-0.1	0.72	0.49	0.1	0.72
11.4	0.2	1.8	0	0.33	-0.1	0.62	0.33	0.1	0.62
7.2	0.3	3.5	0	0.76	0	0.9	0.76	0	0.9
8.3	0.2	2.3	0	0.99	0	0.99	0.99	0	0.99
5.3	0.4	7.9	0	0.65	0.1	0.84	0.65	-0.1	0.84
15.1	0.2	1.3	0	0.45	-0.1	0.72	0.45	0.1	0.72
2.1	0.9	43.4	8.7	0.81	-0.1	0.9	0.81	0.1	0.9
1.8	0.7	37.8	4.3	0.36	-0.3	0.65	0.36	0.3	0.65
2.1	0.7	32.1	4.3	0.56	0.2	0.78	0.56	-0.2	0.78
2.7	0.6	23.1	0	0.79	0.1	0.9	0.79	-0.1	0.9
1.9	1.2	62.1	13	0.4	0.4	0.66	0.4	-0.4	0.66
1.6	1.3	77.4	17.4	0.79	0.1	0.9	0.79	-0.1	0.9
14.6	0.8	5.4	0	0.23	0.4	0.48	0.23	-0.4	0.48
14.6	0.9	6.4	0	0.025	0.9	0.088	0.025	-0.9	0.088
