1	2	3	Mean	SD	CV	Missing	P_Group	FC_Group	Q_Group
Endogenous	FUT2	NM_000511.5	3.1	0.7	23.3	0	0.66	0.2	0.88
Endogenous	ISG15	NM_005101.3	10.2	1.8	17.5	0	0.84	0.2	0.9
Endogenous	TINAGL1	NM_001204414.1	3.3	0.6	19.3	0	0.35	0.4	0.69
Endogenous	MMP15	NM_002428.2	3.4	0.9	25.7	0	0.39	-0.5	0.72
Endogenous	NANP	NM_152667.2	5.2	0.5	10.2	0	0.03	-0.7	0.3
Endogenous	DTL	NM_016448.2	4	0.5	12.2	0	0.6	0.1	0.83
Endogenous	NR2F6	NM_005234.3	5	0.5	10.5	0	0.59	-0.2	0.83
Endogenous	PRIMA1	NM_178013.3	3.7	0.5	12.4	0	0.48	-0.2	0.74
Endogenous	NPC2	NM_006432.3	11.7	0.6	5	0	0.84	-0.1	0.9
Endogenous	PLEK	NM_002664.2	11.8	0.6	5.3	0	0.93	0	0.94
Endogenous	CLIC4	NM_013943.2	8.6	0.5	5.6	0	0.94	0	0.94
Endogenous	GPRC5B	NM_016235.1	4.1	0.6	13.7	0	0.25	-0.5	0.65
Endogenous	SDC3	XM_944729.1	5	0.7	13.9	0	0.16	-0.5	0.59
Endogenous	CD53	NM_001040033.1	12.8	0.6	4.3	0	0.79	0.1	0.9
Endogenous	LRP2	NM_004525.2	4.3	0.4	10.4	0	0.085	-0.3	0.51
Endogenous	UTRN	NM_007124.2	10.4	0.4	3.6	0	0.79	-0.1	0.9
Endogenous	SPRY1	NM_005841.1	5.8	0.4	7.2	0	0.31	-0.2	0.69
Endogenous	ARL4C	NM_005737.3	10.5	0.4	4.2	0	0.072	-0.5	0.5
Endogenous	RAPH1	NM_025252.3	5.8	0.4	6.5	0	0.01	-0.5	0.24
Endogenous	SLIT2	NM_004787.1	3.7	0.5	13	0	0.41	0.3	0.72
Endogenous	OAS2	NM_016817.2	9.8	1.2	12.1	0	0.72	0.2	0.88
Endogenous	THBD	NM_000361.2	9.2	1	11.2	0	0.52	0.4	0.78
Endogenous	MAL	NM_002371.2	8.8	0.6	7.3	0	0.42	-0.2	0.72
Endogenous	CFB	NM_001710.5	3.3	0.5	14.5	0	0.076	-0.5	0.5
Endogenous	ADAMTSL5	NM_213604.1	3.9	0.3	8.9	0	0.2	-0.2	0.59
Endogenous	ICMT	NM_012405.3	7.9	0.4	5.5	0	0.19	-0.3	0.59
Endogenous	TNFSF10	NM_003810.2	10.9	1	9	0	0.36	0.5	0.69
Endogenous	SLC6A8	NM_001142805.1	10.1	0.9	8.9	0	0.0012	1.3	0.07
Endogenous	FGF9	NM_002010.2	4.7	0.5	10.1	0	0.013	-0.6	0.24
Endogenous	SPP1	NM_000582.2	5	0.7	13.2	0	0.27	-0.4	0.65
Endogenous	ITGA4	NM_000885.4	11	0.4	3.3	0	0.13	-0.3	0.59
Endogenous	CALR	NM_004343.2	11	0.5	4.2	0	0.58	0.1	0.83
Endogenous	CLDN6	NM_021195.4	3.1	0.8	25.9	0	0.16	-1	0.59
Endogenous	BMP7	NM_001719.1	3.6	0.6	15.9	0	0.022	-0.9	0.27
Endogenous	EFEMP1	NM_004105.3	2.7	1.1	40.2	7.1	0.016	-1.5	0.24
Endogenous	FGF18	NM_003862.1	4.6	0.5	11.8	0	0.66	0.2	0.88
Endogenous	AURKA	NM_003600.2	7.9	0.3	3.6	0	0.71	0.1	0.88
Endogenous	S100A8	NM_002964.3	12.8	1.1	8.2	0	0.17	0.8	0.59
Endogenous	PTP4A2	NM_080392.2	11.5	0.4	3.3	0	0.29	-0.3	0.66
Endogenous	MELK	NM_014791.2	6	0.4	6.6	0	0.24	0.2	0.65
Endogenous	LMF2	NM_033200.1	7.2	0.4	5.3	0	0.82	-0.1	0.9
Endogenous	APOLD1	NM_001130415.1	5.7	0.3	5.5	0	0.72	0.1	0.88
Endogenous	RALBP1	NM_006788.3	10.4	0.5	4.7	0	0.26	0.4	0.65
Endogenous	IFITM1	NM_003641.3	13.3	0.8	6.2	0	0.43	0.3	0.72
Endogenous	VCAN	NM_004385.3	10	0.7	7	0	0.83	0.1	0.9
Endogenous	RGS1	NM_002922.3	4.9	0.4	7.7	0	0.26	-0.2	0.65
Positive	POS_B(32)	ERCC_00112.1	13	0.2	1.2	0	0.69	0	0.88
Positive	POS_C(8)	ERCC_00002.1	11.8	0.2	1.4	0	0.46	0.1	0.73
Positive	POS_E(0.5)	ERCC_00035.1	7.7	0.1	1.9	0	0.13	0.2	0.59
Positive	POS_D(2)	ERCC_00092.1	8.9	0.2	1.8	0	0.18	0.1	0.59
Positive	POS_F(0.125)	ERCC_00117.1	5.7	0.3	4.8	0	0.11	0.4	0.57
Positive	POS_A(128)	ERCC_00034.1	15.5	0.2	1	0	0.45	0.1	0.73
Negative	NEG_C(0)	ERCC_00019.1	2.6	0.7	27.7	0	0.32	0.4	0.69
Negative	NEG_D(0)	ERCC_00076.1	1.8	0.9	53.2	7.1	0.2	-0.6	0.59
Negative	NEG_B(0)	ERCC_00041.1	2.4	0.5	19.5	0	0.84	-0.1	0.9
Negative	NEG_F(0)	ERCC_00126.1	3.8	0.6	16.6	0	0.43	0.4	0.72
Negative	NEG_E(0)	ERCC_00098.1	2.6	0.7	27.6	0	0.35	0.3	0.69
Negative	NEG_A(0)	ERCC_00096.1	2.5	0.5	21.8	0	0.074	-0.5	0.5
Housekeeping	B2M	NM_004048.2	15.2	0.6	4	0	0.89	0	0.94
Housekeeping	GAPDH	NM_002046.3	13.5	0.5	3.8	0	0.94	0	0.94
