1	2	3	Mean	SD	CV	Missing	P_Group	FC_Group	Q_Group
Endogenous	FUT2	NM_000511.5	3.1	0.9	29	0	0.58	0.3	0.78
Endogenous	ISG15	NM_005101.3	10.7	1.6	14.7	0	0.31	0.9	0.67
Endogenous	TINAGL1	NM_001204414.1	3.1	0.9	27.2	0	0.65	0.2	0.8
Endogenous	MMP15	NM_002428.2	3.4	0.6	17.7	0	0.31	-0.5	0.67
Endogenous	NANP	NM_152667.2	5.5	0.6	11.7	0	0.37	-0.3	0.72
Endogenous	DTL	NM_016448.2	4.1	0.5	11.1	0	0.16	0.3	0.64
Endogenous	NR2F6	NM_005234.3	5.2	0.6	10.8	0	0.8	0.1	0.84
Endogenous	PRIMA1	NM_178013.3	3.6	1	27.2	0	0.43	-0.4	0.72
Endogenous	NPC2	NM_006432.3	12	0.6	5.2	0	0.52	0.3	0.72
Endogenous	PLEK	NM_002664.2	12.1	0.7	5.9	0	0.51	0.3	0.72
Endogenous	CLIC4	NM_013943.2	9	0.7	8	0	0.11	0.5	0.64
Endogenous	GPRC5B	NM_016235.1	4	0.9	23.5	0	0.24	-0.6	0.67
Endogenous	SDC3	XM_944729.1	5.5	0.5	9.4	0	0.5	0.2	0.72
Endogenous	CD53	NM_001040033.1	13	0.7	5.3	0	0.39	0.4	0.72
Endogenous	LRP2	NM_004525.2	4.4	0.6	12.7	0	0.59	-0.1	0.78
Endogenous	UTRN	NM_007124.2	10.3	0.5	5.2	0	0.7	-0.1	0.8
Endogenous	SPRY1	NM_005841.1	6.1	0.8	13.1	0	0.81	0.1	0.84
Endogenous	ARL4C	NM_005737.3	10.4	0.6	5.8	0	0.044	-0.7	0.64
Endogenous	RAPH1	NM_025252.3	6	0.6	9.3	0	0.39	-0.2	0.72
Endogenous	SLIT2	NM_004787.1	4	0.7	18.2	0	0.096	0.6	0.64
Endogenous	OAS2	NM_016817.2	9.9	1.1	10.7	0	0.49	0.4	0.72
Endogenous	THBD	NM_000361.2	9.3	1	10.5	0	0.28	0.7	0.67
Endogenous	MAL	NM_002371.2	8.8	0.8	9.5	0	0.52	-0.2	0.72
Endogenous	CFB	NM_001710.5	3.5	0.7	20	0	0.37	-0.3	0.72
Endogenous	ADAMTSL5	NM_213604.1	3.9	0.5	13.9	0	0.52	-0.2	0.72
Endogenous	ICMT	NM_012405.3	8	0.5	6.6	0	0.38	-0.2	0.72
Endogenous	TNFSF10	NM_003810.2	11.2	0.8	7.3	0	0.11	0.9	0.64
Endogenous	SLC6A8	NM_001142805.1	9.9	1.2	12.5	0	0.032	1.1	0.64
Endogenous	FGF9	NM_002010.2	4.5	0.8	18.4	0	0.011	-0.9	0.64
Endogenous	SPP1	NM_000582.2	5.3	0.8	15.6	0	0.92	0	0.92
Endogenous	ITGA4	NM_000885.4	11	0.5	4.3	0	0.18	-0.3	0.64
Endogenous	CALR	NM_004343.2	11	0.5	4.7	0	0.71	0.1	0.8
Endogenous	CLDN6	NM_021195.4	3.1	1.4	45.5	0	0.18	-1	0.64
Endogenous	BMP7	NM_001719.1	3.7	1	27.4	0	0.069	-0.8	0.64
Endogenous	EFEMP1	NM_004105.3	3.2	1	31.5	0	0.11	-0.9	0.64
Endogenous	FGF18	NM_003862.1	4.6	0.6	13.7	0	0.75	0.1	0.8
Endogenous	AURKA	NM_003600.2	7.9	0.6	7.2	0	0.53	0.2	0.72
Endogenous	S100A8	NM_002964.3	13.1	1.4	11	0	0.059	1.4	0.64
Endogenous	PTP4A2	NM_080392.2	11.6	0.6	5	0	0.71	-0.1	0.8
Endogenous	MELK	NM_014791.2	6	0.7	11.1	0	0.64	0.1	0.8
Endogenous	LMF2	NM_033200.1	7.3	0.4	6	0	0.72	0.1	0.8
Endogenous	APOLD1	NM_001130415.1	5.8	0.7	12.4	0	0.5	0.2	0.72
Endogenous	RALBP1	NM_006788.3	10.5	0.7	6.4	0	0.14	0.6	0.64
Endogenous	IFITM1	NM_003641.3	13.6	0.9	6.3	0	0.072	0.8	0.64
Endogenous	VCAN	NM_004385.3	10.5	0.8	7.2	0	0.13	0.8	0.64
Endogenous	RGS1	NM_002922.3	5.1	0.6	10.8	0	0.91	0	0.92
Positive	POS_B(32)	ERCC_00112.1	12.8	0.2	1.5	0	0.19	-0.2	0.64
Positive	POS_C(8)	ERCC_00002.1	11.6	0.2	1.7	0	0.25	-0.1	0.67
Positive	POS_E(0.5)	ERCC_00035.1	7.5	0.2	3.3	0	0.17	-0.2	0.64
Positive	POS_D(2)	ERCC_00092.1	8.7	0.2	2.5	0	0.14	-0.1	0.64
Positive	POS_F(0.125)	ERCC_00117.1	5.6	0.4	6.4	0	0.27	0.2	0.67
Positive	POS_A(128)	ERCC_00034.1	15.4	0.2	1.2	0	0.23	-0.1	0.67
Negative	NEG_C(0)	ERCC_00019.1	2.4	0.6	23.6	0	0.73	0.1	0.8
Negative	NEG_D(0)	ERCC_00076.1	2	0.4	21.2	0	0.42	-0.2	0.72
Negative	NEG_B(0)	ERCC_00041.1	2.2	0.8	35.6	7.1	0.43	-0.3	0.72
Negative	NEG_F(0)	ERCC_00126.1	3.7	0.8	22.2	0	0.65	0.2	0.8
Negative	NEG_E(0)	ERCC_00098.1	2.5	0.7	27.4	0	0.68	0.1	0.8
Negative	NEG_A(0)	ERCC_00096.1	2.7	0.4	14.9	0	0.28	-0.3	0.67
Housekeeping	B2M	NM_004048.2	15.5	0.8	4.9	0	0.28	0.4	0.67
Housekeeping	GAPDH	NM_002046.3	13.9	0.7	5.3	0	0.29	0.5	0.67
